SKU,LocalImagePath
PB-ZC-001,images/PB-ZC-001.png
PB-ZC-002,images/PB-ZC-002.png
PB-ZC-003,images/PB-ZC-003.png
PB-ZC-004,images/PB-ZC-004.png
PB-ZC-005,images/PB-ZC-005.png
PB-ZC-006,images/PB-ZC-006.png
PB-ZC-007,images/PB-ZC-007.png
PB-ZC-008,images/PB-ZC-008.png
PB-ZC-009,images/PB-ZC-009.png
PB-ZC-010,images/PB-ZC-010.png
